title,url,site
You can't trust macOS Privacy and Security settings,https://eclecticlight.co/2026/04/10/why-you-cant-trust-privacy-security/,eclecticlight.co
WireGuard makes new Windows release following Microsoft signing resolution,https://lists.zx2c4.com/pipermail/wireguard/2026-April/009561.html,zx2c4.com
1D Chess,https://rowan441.github.io/1dchess/chess.html,rowan441.github.io
Industrial design files for Keychron keyboards and mice,https://github.com/Keychron/Keychron-Keyboards-Hardware-Design,github.com/keychron
Helium Is Hard to Replace,https://www.construction-physics.com/p/helium-is-hard-to-replace,construction-physics.com
A compelling title that is cryptic enough to get you to take action on it,https://ericwbailey.website/published/a-compelling-title-that-is-cryptic-enough-to-get-you-to-take-action-on-it/,ericwbailey.website
Bluesky April 2026 Outage Post-Mortem,https://pckt.blog/b/jcalabro/april-2026-outage-post-mortem-219ebg2,pckt.blog
CPU-Z and HWMonitor compromised,https://www.theregister.com/2026/04/10/cpuid_site_hijacked/,theregister.com
"Launch HN: Twill.ai (YC S25) – Delegate to cloud agents, get back PRs",https://twill.ai,twill.ai
Bild AI (YC W25) Is Hiring a Founding Product Engineer,https://www.ycombinator.com/companies/bild-ai/jobs/dDMaxVN-founding-product-engineer,ycombinator.com
Clojure on Fennel Part One: Persistent Data Structures,https://andreyor.st/posts/2026-04-07-clojure-on-fennel-part-one-persistent-data-structures/,andreyor.st
Show HN: FluidCAD – Parametric CAD with JavaScript,https://fluidcad.io/,fluidcad.io
The difficulty of making sure your website is broken,https://letsencrypt.org/2026/04/10/test-sites.html,letsencrypt.org
Mysteries of Dropbox: Testing of a Distributed Sync Service (2016) [pdf],https://www.cis.upenn.edu/~bcpierce/papers/mysteriesofdropbox.pdf,upenn.edu
Molotov Cocktail Is Hurled at Home of OpenAI CEO Sam Altman,https://www.nytimes.com/2026/04/10/us/open-ai-sam-altman-molotov-cocktail.html,nytimes.com
FBI used iPhone notification data to retrieve deleted Signal messages,https://9to5mac.com/2026/04/09/fbi-used-iphone-notification-data-to-retrieve-deleted-signal-messages/,9to5mac.com
HBO Obtains DMCA Subpoena to Unmask 'Euphoria' Spoiler Account on X,https://torrentfreak.com/hbo-obtains-dmca-subpoena-to-unmask-euphoria-spoiler-account-on-x/,torrentfreak.com
The best seat in town,https://www.torched.la/the-best-seat-in-town/,torched.la
I still prefer MCP over skills,https://david.coffee/i-still-prefer-mcp-over-skills/,david.coffee
RSoC 2026: A new CPU scheduler for Redox OS,https://www.redox-os.org/news/rsoc-dwrr/,redox-os.org
Penguin 'Toxicologists' Find PFAS Chemicals in Remote Patagonia,https://www.ucdavis.edu/health/news/penguin-toxicologists-find-pfas-chemicals-remote-patagonia,ucdavis.edu
C++: Freestanding Standard Library,https://www.sandordargo.com/blog/2026/04/08/cpp-freestanding,sandordargo.com
A new trick brings stability to quantum operations,https://ethz.ch/en/news-and-events/eth-news/news/2026/04/a-new-trick-brings-stability-to-quantum-operations.html,ethz.ch
Native Instant Space Switching on macOS,https://arhan.sh/blog/native-instant-space-switching-on-macos/,arhan.sh
France to ditch Windows for Linux to reduce reliance on US tech,https://techcrunch.com/2026/04/10/france-to-ditch-windows-for-linux-to-reduce-reliance-on-us-tech/,techcrunch.com
Deterministic Primality Testing for Limited Bit Width,https://www.jeremykun.com/2026/04/07/deterministic-miller-rabin/,jeremykun.com
We've raised $17M to build what comes after Git,https://blog.gitbutler.com/series-a,gitbutler.com
Autonomy Is Real Now,https://steelforfuel.substack.com/p/autonomy-is-real-now,steelforfuel.substack.com
Supply chain nightmare: How Rust will be attacked and what we can do to mitigate,https://kerkour.com/rust-supply-chain-nightmare,kerkour.com
DRAM has a design flaw from 1966. I bypassed it [video],https://www.youtube.com/watch?v=KKbgulTp3FE,youtube.com
